Partlist

Exported from keyBoard_A.brd at 2016-08-18 11:49:36

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Package             Library           Position (mil)        Orientation

1D1      74HC138N           DIL16               detali_main       (5850 -10250)         R0
1D2      ATMEGA32U4         SMARTPRJ_TQFP44-PAD detali_main       (3075 -17437.5)       R0
2D1      74HC138N           DIL16               detali2           (12662.5 -9962.5)     R270
2D2      74HC04N            DIL14               detali2           (9237.5 -10250)       R0
C3       100n               C0603-ROUND         SmartPrj          (6837.5 -17887.5)     R90
C4       100n               C0603-ROUND         SmartPrj          (6262.5 -18562.5)     R180
C5       1uF                C0603-ROUND         SmartPrj          (6987.5 -17887.5)     R270
C6       100n               C0603-ROUND         SmartPrj          (6987.5 -18562.5)     R270
C7       1uF                C0603-ROUND         SmartPrj          (6987.5 -18287.5)     R0
C8       10u                SMC_B               rcl               (5237.5 -17812.5)     R180
C9       100n               C0603-ROUND         SmartPrj          (6987.5 -18227.5)     R180
C10      10u                SMC_B               rcl               (3287.5 -15687.5)     R270
C11      1u                 C0603-ROUND         SmartPrj          (5712.5 -18162.5)     R180
C12      10u                SMC_B               rcl               (5737.5 -18637.5)     R270
C13      100n               C0603-ROUND         SmartPrj          (5637.5 -17737.5)     R0
C14      1u                 C0603-ROUND         SmartPrj          (5712.5 -18362.5)     R0
C15      22p                C0603-ROUND         SmartPrj          (6762.5 -17887.5)     R90
C16      22p                C0603-ROUND         SmartPrj          (6637.5 -17687.5)     R0
C17      100n               C0805               rcl               (1275 -15787.5)       R0
C18      100n               C0805               rcl               (675 -13312.5)        MR90
C19      100n               C1206K              rcl               (12650 -10012.5)      MR0
C20      100n               C1206               rcl               (8837.5 -10250)       R270
C21      22p                C0603-ROUND         SmartPrj          (3050 -18937.5)       R0
C22      100n               C0603-ROUND         SmartPrj          (5637.5 -17437.5)     R180
C23      22p                C0603-ROUND         SmartPrj          (3225 -18937.5)       R0
CAPS                        LED5MM              detali_main       (2325 -9837.5)        R180
D1       LL4148             SOD80C              detali            (925 -10050)          R270
D2       LL4148             SOD80C              detali            (1850 -9975)          R270
D3       LL4148             SOD80C              detali            (1125 -10325)         R90
D4       LL4148             SOD80C              detali            (1850 -10675)         R90
D5       LL4148             SOD80C              detali            (1125 -11075)         R90
D6       LL4148             SOD80C              detali            (1875 -11050)         R90
D7       LL4148             SOD80C              detali            (1125 -11825)         R90
D8       LL4148             SOD80C              detali            (1875 -11825)         R90
D9       LL4148             SOD80C              detali            (1675 -12687.5)       R90
D10      LL4148             SOD80C              detali            (375 -12850)          R0
D11      LL4148             SOD80C              detali            (1925 -12687.5)       R90
D12      LL4148             SOD80C              detali            (2725 -13400)         R90
D13      LL4148             SOD80C              detali            (3650 -10150)         R270
D14      LL4148             SOD80C              detali            (3900 -10031.375)     R270
D15      LL4148             SOD80C              detali            (4650 -10025)         R270
D16      LL4148             SOD80C              detali            (5350 -10000)         R225
D17      LL4148             SOD80C              detali            (6425 -10100)         R270
D18      LL4148             SOD80C              detali            (7275 -10100)         R0
D19      LL4148             SOD80C              detali            (3650 -10625)         R90
D20      LL4148             SOD80C              detali            (4375 -10600)         R90
D21      LL4148             SOD80C              detali            (5137.5 -10662.5)     R0
D22      LL4148             SOD80C              detali            (5825 -10575)         R90
D23      LL4148             SOD80C              detali            (6625 -10650)         R90
D24      LL4148             SOD80C              detali            (7275 -11150)         R0
D25      LL4148             SOD80C              detali            (3450 -11400)         R90
D26      LL4148             SOD80C              detali            (4375 -11400)         R90
D27      LL4148             SOD80C              detali            (5125 -11400)         R90
D28      LL4148             SOD80C              detali            (5875 -11400)         R90
D29      LL4148             SOD80C              detali            (6625 -11375)         R90
D30      LL4148             SOD80C              detali            (7275 -11900)         R0
D31      LL4148             SOD80C              detali            (3350 -12125)         R90
D32      LL4148             SOD80C              detali            (4375 -12150)         R90
D33      LL4148             SOD80C              detali            (5125 -12150)         R90
D34      LL4148             SOD80C              detali            (5875 -12150)         R90
D35      LL4148             SOD80C              detali            (6625 -12125)         R90
D36      LL4148             SOD80C              detali            (7275 -12650)         R0
D37      LL4148             SOD80C              detali            (3375 -12812.5)       R90
D38      LL4148             SOD80C              detali            (4375 -12900)         R90
D39      LL4148             SOD80C              detali            (5125 -12900)         R90
D40      LL4148             SOD80C              detali            (5850 -12900)         R90
D41      LL4148             SOD80C              detali            (6650 -12925)         R0
D42      LL4148             SOD80C              detali            (7050 -13412.5)       R270
D43      LL4148             SOD80C              detali            (4200 -13325)         R90
D44      LL4148             SOD80C              detali            (5725 -13325)         R90
D45      LL4148             SOD80C              detali            (6325 -13350)         R90
D46      LL4148             SOD80C              detali            (6900 -13500)         R0
D47      LL4148             SOD80C              detali            (425 -13237.5)        R0
D48      LL4148             SOD80C              detali            (112.5 -13100)        R0
D49      LL4148             SOD80C              detali            (8250 -11350)         R0
D50      LL4148             SOD80C              detali            (8875 -9475)          R90
D51      LL4148             SOD80C              detali            (9937.5 -9612.5)      R0
D52      LL4148             SOD80C              detali            (10100 -9575)         R90
D53      LL4148             SOD80C              detali            (11250 -10075)        R0
D54      LL4148             SOD80C              detali            (12137.5 -9550)       R90
D55      LL4148             SOD80C              detali            (8462.5 -11887.5)     R0
D56      LL4148             SOD80C              detali            (8600 -11112.5)       R270
D57      LL4148             SOD80C              detali            (9712.5 -10887.5)     R270
D58      LL4148             SOD80C              detali            (10400 -10675)        R90
D59      LL4148             SOD80C              detali            (10700 -11125)        R0
D60      LL4148             SOD80C              detali            (11250 -10762.5)      R90
D61      LL4148             SOD80C              detali            (11918.75 -10675)     R180
D62      LL4148             SOD80C              detali            (8700 -12600)         R0
D63      LL4148             SOD80C              detali            (8725 -11850)         R270
D64      LL4148             SOD80C              detali            (9187.5 -11887.5)     R315
D64B     LL4148             SOD80C              detali            (12975 -9587.5)       R180
D65      LL4148             SOD80C              detali            (10475 -11437.5)      R90
D66      LL4148             SOD80C              detali            (10800 -11875)        R0
D67      LL4148             SOD80C              detali            (11587.5 -11862.5)    R0
D67B     LL4148             SOD80C              detali            (12000 -10862.5)      R180
D68      LL4148             SOD80C              detali            (12387.5 -11862.5)    R0
D69      LL4148             SOD80C              detali            (13162.5 -11875)      R270
D70      LL4148             SOD80C              detali            (8600 -13362.5)       R0
D71      LL4148             SOD80C              detali            (8950 -12400)         R270
D72      LL4148             SOD80C              detali            (9350 -12612.5)       R270
D73      LL4148             SOD80C              detali            (10500 -12150)        R90
D74      LL4148             SOD80C              detali            (10625 -12625)        R270
D75      LL4148             SOD80C              detali            (11362.5 -12550)      R315
D76      LL4148             SOD80C              detali            (11925 -12175)        R180
D77      LL4148             SOD80C              detali            (8000 -13325)         R90
D78      LL4148             SOD80C              detali            (8762.5 -13325)       R270
D79      LL4148             SOD80C              detali            (9150 -13587.5)       R270
D80      LL4148             SOD80C              detali            (9937.5 -13375)       R180
D81      LL4148             SOD80C              detali            (10881.25 -13400)     R270
D82      LL4148             SOD80C              detali            (11712.5 -13262.5)    R0
D83      LL4148             SOD80C              detali            (12387.5 -13275)      R180
D84      LL4148             SOD80C              detali            (8737.5 -14012.5)     R0
D85      LL4148             SOD80C              detali            (10237.5 -13862.5)    R270
D86      LL4148             SOD80C              detali            (11062.5 -13950)      R270
D87      LL4148             SOD80C              detali            (12037.5 -13950)      R180
D88      LL4148             SOD80C              detali            (13475 -14012.5)      R0
D89      LL4148             SOD80C              detali            (10050 -14012.5)      R0
D90      M7                 SMB                 diode             (5587.5 -18637.5)     R270
D91      CD1206-S01575      MINIMELF            diode             (7057.5 -17887.5)     R270
D92      LL4148             SOD80C              detali            (8806.25 -10106.25)   R45
D93      LL4148             SOD80C              detali            (8775 -10268.75)      R60
F1       MF-MSMF050-2 500mA L1812               rcl               (5237.5 -17212.5)     R180
IC1      74HC04N            DIL14               detali_main       (725 -12950)          R90
IC2      LMV358IDGKR        MSOP08              linear            (5562.5 -17587.5)     R0
ICSP     ICSP               2X03                SmartPrj          (7792.5 -17812.5)     R270
J1       J                  R1206W              detali_main       (6400 -11075)         R90
J2       J                  R1206W              detali_main       (6450 -11850)         R90
J3       J                  R1206W              detali_main       (6475 -12575)         R270
J4       J                  R1206W              detali_main       (5700 -11075)         R270
J5       J                  R1206W              detali_main       (5700 -11850)         R90
J6       J                  R1206W              detali_main       (5725 -12575)         R270
J7       J                  R1206W              detali_main       (4950 -11075)         R270
J8       J                  R1206W              detali_main       (4950 -11850)         R90
J9       J                  R1206W              detali_main       (4975 -12575)         R90
J10      J                  R1206W              detali_main       (4225 -11075)         R270
J11      J                  R1206W              detali_main       (4225 -11850)         R90
J12      J                  R1206W              detali_main       (4225 -12575)         R90
J13      J                  R1206W              detali_main       (3475 -11075)         R270
J14      J                  R1206W              detali_main       (3400 -11850)         R90
J15      J                  R1206W              detali_main       (3375 -12575)         R90
J16      J                  R1206W              detali_main       (1950 -10825)         R270
J17      J                  R1206W              detali_main       (1775 -11525)         R90
J18      J                  R1206W              detali_main       (1675 -12300)         R90
J19      J                  R1206W              detali_main       (950 -10775)          R270
J20      J                  R1206W              detali_main       (950 -11550)          R90
J21      J                  R1206W              detali_main       (575 -11625)          R0
J22      J                  R1206W              detali_main       (5100 -10487.5)       R0
J23      J                  R1206W              detali_main       (6425 -10250)         R0
J24      J                  R1206W              detali_main       (5287.5 -10125)       R180
J25      J                  R1206W              detali_main       (5112.5 -10162.5)     R225
J26      J                  R1206W              detali_main       (5775 -9675)          R90
J27      J                  R1206W              detali_main       (5350 -10387.5)       R0
J28      J                  R1206W              detali_main       (5337.5 -10312.5)     R0
J29      J                  R1206W              detali_main       (5287.5 -10212.5)     R0
J30      J                  R1206W              detali_main       (5087.5 -10400)       R0
J31      J                  R1206W              detali_main       (5087.5 -10312.5)     R0
J32      J                  R1206W              detali_main       (1187.5 -9875)        R270
J33      J                  R1206W              detali_main       (1950 -9975)          R270
J34      J                  R1206W              detali_main       (2650 -9900)          R270
J35      J                  R1206W              detali_main       (4375 -10437.5)       R0
J36      J                  R1206W              detali_main       (4375 -10350)         R0
J37      J                  R1206W              detali_main       (4375 -10262.5)       R0
J38      J                  R1206W              detali_main       (3650 -10462.5)       R0
J39      J                  R1206W              detali_main       (3650 -10375)         R0
J40      J                  R1206W              detali_main       (3650 -10287.5)       R0
J41      J                  R1206W              detali_main       (5887.5 -9675)        R90
J42      J                  R1206W              detali_main       (612.5 -10862.5)      R180
J43      J                  R1206W              detali_main       (5662.5 -9675)        R90
J44      J                  R1206W              detali_main       (425 -13150)          R0
J45      J                  R1206W              detali_main       (575 -11537.5)        R180
J46                         R1206W              detali2           (11937.5 -10037.5)    R0
J47      USB MICRO          CON2_USB_MICRO_B_AT SmartPrj          (4794.5 -17437.5)     R270
J48                         R1206W              detali2           (10962.5 -11087.5)    R0
J49                         R1206W              detali2           (11700 -11125)        R0
J50                         R1206W              detali2           (11150 -12125)        R0
J51                         R1206W              detali2           (11168.75 -12950)     R0
J52                         R1206W              detali2           (10225 -13550)        R0
J53                         R1206W              detali2           (11150 -10612.5)      R180
J54                         R1206W              detali2           (9475 -11825)         R180
J55                         R1206W              detali2           (10712.5 -13381.25)   R135
J56                         R1206W              detali2           (9275 -13375)         R180
J57                         R1206W              detali2           (9700 -11400)         R90
J58                         R1206W              detali2           (9400 -11087.5)       R180
J59                         R1206W              detali2           (12325 -9400)         R180
J60                         R1206W              detali2           (9000 -9525)          R270
J61                         R1206W              detali2           (9200 -9568.75)       R270
J62                         R1206W              detali2           (12237.5 -9550)       R90
J63                         R1206W              detali2           (8862.5 -10562.5)     R90
J64                         R1206W              detali2           (9000 -10000)         R180
J65                         R1206W              detali2           (9000 -9925)          R180
J66                         R1206W              detali2           (9225 -10000)         R180
J67                         R1206W              detali2           (9000 -9850)          R180
J68                         R1206W              detali2           (9200 -9850)          R180
J69                         R1206W              detali2           (9337.5 -9625)        R180
J70                         R1206W              detali2           (10212.5 -10312.5)    R0
J71                         R1206W              detali2           (10225 -10225)        R0
J72                         R1206W              detali2           (10237.5 -10137.5)    R0
J73                         R1206W              detali2           (11000 -10312.5)      R0
J74                         R1206W              detali2           (11000 -10225)        R0
J75                         R1206W              detali2           (11000 -10137.5)      R0
J76                         R1206W              detali2           (10212.5 -10400)      R180
J77                         R1206W              detali2           (11750 -10312.5)      R0
J78                         R1206W              detali2           (11750 -10225)        R0
J79                         R1206W              detali2           (11750 -10137.5)      R0
J80                         R1206W              detali2           (11937.5 -10125)      R0
J81                         R1206W              detali2           (11937.5 -10300)      R0
J82                         R1206W              detali2           (11937.5 -10212.5)    R0
J83                         R1206W              detali2           (12775 -10675)        R270
J84                         R1206W              detali2           (12662.5 -9512.5)     R270
J85                         R1206W              detali2           (12650 -9712.5)       R270
J86                         R1206W              detali2           (12725 -9712.5)       R270
J87                         R1206W              detali2           (12887.5 -14025)      R270
J88                         R1206W              detali2           (12775 -10875)        R270
J89                         R1206W              detali2           (11725 -12575)        R180
J90                         R1206W              detali2           (13375 -11100)        R180
J91                         R1206W              detali2           (11943.75 -11687.5)   R180
J92                         R1206W              detali2           (13143.75 -12487.5)   R180
J93                         R1206W              detali2           (12875 -13300)        R180
J94                         R1206W              detali2           (12162.5 -13287.5)    R180
J95                         R1206W              detali2           (12325 -9537.5)       R90
JA1                         SJ                  detali_main       (575 -10025)          R90
JA2                         SJ                  detali_main       (1575 -9975)          R90
JA3                         SJ                  detali_main       (825 -10750)          R90
JA4                         SJ                  detali_main       (1550 -10800)         R90
JA5                         SJ                  detali_main       (800 -11525)          R90
JA6                         SJ                  detali_main       (1575 -11500)         R90
JA7                         SJ                  detali_main       (825 -12250)          R90
JA8                         SJ                  detali_main       (1550 -12275)         R90
JA9                         SJ                  detali_main       (1375 -13300)         R90
JA10                        SJ                  detali_main       (837.5 -14050)        R90
JA11                        SJ                  detali_main       (1575 -14050)         R90
JA12                        SJ                  detali_main       (2325 -14050)         R90
JA13                        SJ                  detali            (3025 -10000)         R90
JA14                        SJ                  detali            (3775 -10000)         R90
JA15                        SJ                  detali            (4525 -10000)         R90
JA16                        SJ                  detali            (4975 -9900)          R0
JA17                        SJ                  detali            (6025 -9875)          R0
JA18                        SJ                  detali            (6800 -9850)          R0
JA19                        SJ                  detali            (3325 -11050)         R90
JA20                        SJ                  detali            (4075 -11050)         R90
JA21                        SJ                  detali            (4825 -11050)         R90
JA22                        SJ                  detali            (5550 -11100)         R90
JA23                        SJ                  detali            (6050 -10925)         R0
JA24                        SJ                  detali            (6825 -10950)         R0
JA25                        SJ                  detali            (3125 -11825)         R90
JA26                        SJ                  detali            (4075 -11825)         R90
JA27                        SJ                  detali            (4800 -11825)         R90
JA28                        SJ                  detali            (5550 -11825)         R90
JA29                        SJ                  detali            (6325 -11825)         R90
JA30                        SJ                  detali            (6800 -11725)         R0
JA31                        SJ                  detali            (3025 -12550)         R90
JA32                        SJ                  detali            (4075 -12550)         R90
JA33                        SJ                  detali            (4825 -12550)         R90
JA34                        SJ                  detali            (5575 -12550)         R90
JA35                        SJ                  detali            (6325 -12550)         R90
JA36                        SJ                  detali            (6800 -12450)         R0
JA37                        SJ                  detali            (2675 -13225)         R0
JA38                        SJ                  detali            (4075 -13300)         R90
JA39                        SJ                  detali            (4825 -13300)         R90
JA40                        SJ                  detali            (5575 -13325)         R180
JA41                        SJ                  detali            (6075 -13150)         R0
JA42                        SJ                  detali            (6800 -13225)         R0
JA43                        SJ                  detali_main       (3087.5 -14050)       R90
JA44                        SJ                  detali            (3475 -14050)         R90
JA45                        SJ                  detali            (4700 -14037.5)       R90
JA46                        SJ                  detali            (6150 -14037.5)       R90
JA47                        SJ                  detali            (7575 -9925)          R0
JA48                        SJ                  detali            (8200 -9687.5)        R270
JA49                        SJ                  detali            (9375 -9837.5)        R0
JA50                        SJ                  detali            (10675 -9825)         R180
JA51                        SJ                  detali            (10875 -9925)         R0
JA52                        SJ                  detali            (11925 -9950)         R180
